id,tipo,estado,capacidad,facultad,programa,fecha_solicitud,fecha_asignacion
S023,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S024,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S025,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S026,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S027,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S028,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S029,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S030,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S031,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S032,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S033,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S034,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S035,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S036,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S037,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S038,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S039,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S040,salón,asignada,40,Facultad de Ciencias Sociales,Antropología,2025-04-07T17:28:32.053161,2025-04-07T17:28:32.053161
S041,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S042,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S043,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S044,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S045,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S046,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S047,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S048,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S049,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S050,salón,asignada,40,Facultad de Ciencias Sociales,Comunicación,2025-04-07T17:28:32.056305,2025-04-07T17:28:32.056305
S051,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S052,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S053,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S054,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S055,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S056,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S057,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S058,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S059,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S060,salón,asignada,40,Facultad de Ciencias Naturales,Biología,2025-04-07T17:28:32.059403,2025-04-07T17:28:32.059403
S061,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S062,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S063,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S064,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S065,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S066,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S067,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S068,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S069,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S070,salón,asignada,40,Facultad de Ciencias Naturales,Química,2025-04-07T17:28:32.062768,2025-04-07T17:28:32.062768
S071,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S072,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S073,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S074,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S075,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S076,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S077,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S078,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S079,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S080,salón,asignada,40,Facultad de Ciencias Naturales,Física,2025-04-07T17:28:32.066062,2025-04-07T17:28:32.066062
S081,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S082,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S083,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S084,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S085,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S086,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S087,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S088,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S089,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S090,salón,asignada,40,Facultad de Ciencias Naturales,Geología,2025-04-07T17:28:32.069340,2025-04-07T17:28:32.069340
S091,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S092,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S093,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S094,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S095,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S096,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S097,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S098,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S099,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S100,salón,asignada,40,Facultad de Ciencias Naturales,Ciencias Ambientales,2025-04-07T17:28:32.072539,2025-04-07T17:28:32.072539
S101,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S102,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S103,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S104,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S105,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S106,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S107,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S108,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S109,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S110,salón,asignada,40,Facultad de Ingeniería,Ingeniería Civil,2025-04-07T17:28:32.075088,2025-04-07T17:28:32.075088
S111,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S112,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S113,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S114,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S115,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S116,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S117,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S118,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S119,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S120,salón,asignada,40,Facultad de Ingeniería,Ingeniería Electrónica,2025-04-07T17:28:32.077743,2025-04-07T17:28:32.077743
S121,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S122,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S123,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S124,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S125,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S126,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S127,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S128,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S129,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S130,salón,asignada,40,Facultad de Ingeniería,Ingeniería de Sistemas,2025-04-07T17:28:32.080228,2025-04-07T17:28:32.080228
S131,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S132,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S133,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S134,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S135,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S136,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S137,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S138,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S139,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S140,salón,asignada,40,Facultad de Ingeniería,Ingeniería Mecánica,2025-04-07T17:28:32.082798,2025-04-07T17:28:32.082798
S141,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S142,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S143,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S144,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S145,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S146,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S147,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S148,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S149,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S150,salón,asignada,40,Facultad de Ingeniería,Ingeniería Industrial,2025-04-07T17:28:32.085035,2025-04-07T17:28:32.085035
S151,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S152,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S153,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S154,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S155,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S156,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S157,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S158,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S159,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S160,salón,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S161,aula móvil,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S162,aula móvil,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S163,aula móvil,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S164,aula móvil,asignada,40,Facultad de Medicina,Medicina General,2025-04-07T17:28:32.087479,2025-04-07T17:28:32.087479
S165,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S166,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S167,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S168,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S169,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S170,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S171,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S172,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S173,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S174,salón,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S175,aula móvil,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S176,aula móvil,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S177,aula móvil,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S178,aula móvil,asignada,40,Facultad de Medicina,Enfermería,2025-04-07T17:28:32.090101,2025-04-07T17:28:32.090101
S179,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S180,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S181,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S182,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S183,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S184,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S185,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S186,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S187,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S188,salón,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S189,aula móvil,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S190,aula móvil,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S191,aula móvil,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S192,aula móvil,asignada,40,Facultad de Medicina,Odontología,2025-04-07T17:28:32.092520,2025-04-07T17:28:32.092520
S193,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S194,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S195,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S196,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S197,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S198,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S199,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S200,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S201,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S202,salón,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S203,aula móvil,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S204,aula móvil,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S205,aula móvil,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S206,aula móvil,asignada,40,Facultad de Medicina,Farmacia,2025-04-07T17:28:32.094845,2025-04-07T17:28:32.094845
S207,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S208,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S209,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S210,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S211,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S212,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S213,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S214,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S215,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S216,salón,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
S217,aula móvil,asignada,40,Facultad de Medicina,Terapia Física,2025-04-07T17:28:32.097017,2025-04-07T17:28:32.097017
